자치구명,시설구분,주소,위도,경도
광진구,게임제공업,"서울특별시 광진구 아차산로 473, 4층 (구의동)",37.540519,127.094284
광진구,게임제공업,"서울특별시 광진구 군자로 141, 2층 (군자동)",37.554308,127.074826
광진구,게임제공업,"서울특별시 광진구 군자로 144, 지층 (군자동)",37.554309,127.075438
광진구,게임제공업,"서울특별시 광진구 능동로 290 (능동, 삼일빌딩)",37.555583,127.078979
광진구,게임제공업,"서울특별시 광진구 천호대로 562, 쥬얼테크 지하1층 (능동)",37.556488,127.080355
광진구,게임제공업,"서울특별시 광진구 뚝섬로 613, 우양빌딩 지하1층 (자양동)",37.532708,127.077943
광진구,게임제공업,서울특별시 광진구 자양로13길 99 (자양동),37.532622,127.080127
광진구,게임제공업,서울특별시 광진구 자양로15길 18 (자양동),37.535822,127.082545
광진구,게임제공업,"서울특별시 광진구 자양번영로 20 (자양동,자양빌딩 2층)",37.531392,127.075361
광진구,게임제공업,"서울특별시 광진구 아차산로 288, 지층 (자양동, 대흥빌딩)",37.538389,127.074911
광진구,게임제공업,서울특별시 광진구 뚝섬로 503 (자양동),37.536084,127.066022
광진구,게임제공업,"서울특별시 광진구 뚝섬로24길 3, 지하층 (자양동)",37.536282,127.063777
광진구,게임제공업,"서울특별시 광진구 아차산로 244, 지하1층 (자양동)",37.539731,127.070201
광진구,게임제공업,서울특별시 광진구 긴고랑로 52 (중곡동),37.562254,127.081906
광진구,게임제공업,"서울특별시 광진구 능동로 373, 3층 (중곡동)",37.562730,127.082267
광진구,게임제공업,"서울특별시 광진구 능동로37길 6, 지하1층 (중곡동)",37.558190,127.079577
광진구,게임제공업,"서울특별시 광진구 능동로 372, 지하1층 (중곡동)",37.562422,127.082658
광진구,게임제공업,"서울특별시 광진구 용마산로 37, 지층 (중곡동, 이안빌딩)",37.557022,127.087724
광진구,게임제공업,"서울특별시 광진구 면목로 161 (중곡동,지하1층)",37.567709,127.082032
광진구,게임제공업,"서울특별시 광진구 면목로 164 (중곡동,2층)",37.567724,127.082428
광진구,게임제공업,"서울특별시 광진구 면목로 192 (중곡동,2층)",37.570277,127.083366
광진구,게임제공업,서울특별시 광진구 면목로 203 (중곡동),37.571218,127.083230
